group,variable,level,n,mean,sd,median,q1,q3,percent
Overall,age,,3138,59.761312938177184,15.423179746950899,62.0,52.0,71.0,
Overall,asa,,3138,2.448693435309114,0.853696726641834,2.0,2.0,3.0,
Overall,baseline_creatinine,,3138,0.8773422562141493,0.385323032623045,0.8,0.67,0.99,
Overall,baseline_egfr,,3138,91.95990498762906,22.69162322687336,95.68178806718446,80.94430212360609,105.5662760847311,
Overall,anesthesia_minutes,,3138,267.25908221798386,136.24340007194309,236.0,176.0,325.75,
Overall,map_coverage,,3138,0.8502854311944822,0.06738793970389116,0.8578104575163399,0.8,0.9041424132347149,
Overall,total_low_minutes,,3138,22.164117272147866,32.879570245030244,11.0,3.0,27.0,
Overall,episode_count,,3138,6.254939451880179,7.087504627753038,4.0,2.0,8.0,
Overall,longest_episode_minutes,,3138,7.275971956660293,9.74823342562516,5.0,2.0,9.0,
Overall,excess5_minutes,,3138,6.315806246016571,16.97833790230457,0.0,0.0,5.0,
Overall,auc_below_65_mmhg_minutes,,3138,161.33014659018482,280.41045327190363,77.5,27.0,178.0,
Overall,mean_depth_below_65_mmhg,,3138,8.844575352203668,9.61616756422794,5.724605353466027,3.626953125,9.5,
Overall,sex,Male,1880,,,,,,59.91077119184194
Overall,sex,Female,1258,,,,,,40.08922880815806
Overall,surgical_category,thoracic,1073,,,,,,34.193753983428934
Overall,surgical_category,abdominal,1057,,,,,,33.68387507966858
Overall,surgical_category,out_of_common_support,470,,,,,,14.977692797960485
Overall,surgical_category,superficial_other,193,,,,,,6.150414276609306
Overall,surgical_category,vascular,191,,,,,,6.086679413639261
Overall,surgical_category,genitourinary_gynecologic,154,,,,,,4.907584448693435
Overall,hypertension,False,2179,,,,,,69.43913320586361
Overall,hypertension,True,959,,,,,,30.56086679413639
Overall,diabetes,False,2710,,,,,,86.36073932441045
Overall,diabetes,True,428,,,,,,13.639260675589547
Overall,icu_flag,Yes,1813,,,,,,57.775653282345445
Overall,icu_flag,No,1325,,,,,,42.224346717654555
Overall,early_aki_48h,event_among_observed,200,,,,,,6.761325219743069
MOVER,age,,1178,57.16638370118846,18.056067422573946,59.0,44.25,70.0,
MOVER,asa,,1178,3.233446519524618,0.6574856247516601,3.0,3.0,4.0,
MOVER,baseline_creatinine,,1178,0.9301358234295415,0.4848951907601307,0.8,0.6,1.1,
MOVER,baseline_egfr,,1178,91.35708561883314,28.106790882954982,96.22904588006642,73.99171830917183,111.18616250758667,
MOVER,anesthesia_minutes,,1178,307.4736842105263,160.54479701082712,268.0,195.0,375.0,
MOVER,map_coverage,,1178,0.8323541278242723,0.06684996307815166,0.8340856188644874,0.7796083558585027,0.8845670660997293,
MOVER,total_low_minutes,,1178,31.430390492359933,42.61336314812362,17.0,5.0,38.0,
MOVER,episode_count,,1178,8.957555178268251,9.148165721817854,6.0,3.0,12.0,
MOVER,longest_episode_minutes,,1178,9.236842105263158,12.953643282926285,5.0,2.0,11.0,
MOVER,excess5_minutes,,1178,9.737691001697792,22.57331953660981,0.0,0.0,9.0,
MOVER,auc_below_65_mmhg_minutes,,1178,242.23344651952462,394.18356393302645,103.0,32.25,282.25,
MOVER,mean_depth_below_65_mmhg,,1178,7.3779273846054645,6.6226426579164155,5.613247863247863,3.7190476190476183,8.740338164251208,
MOVER,sex,Male,762,,,,,,64.68590831918506
MOVER,sex,Female,416,,,,,,35.31409168081494
MOVER,surgical_category,out_of_common_support,470,,,,,,39.898132427843805
MOVER,surgical_category,abdominal,272,,,,,,23.08998302207131
MOVER,surgical_category,superficial_other,153,,,,,,12.98811544991511
MOVER,surgical_category,vascular,134,,,,,,11.375212224108658
MOVER,surgical_category,thoracic,99,,,,,,8.404074702886248
MOVER,surgical_category,genitourinary_gynecologic,50,,,,,,4.244482173174872
MOVER,hypertension,False,883,,,,,,74.95755517826825
MOVER,hypertension,True,295,,,,,,25.04244482173175
MOVER,diabetes,False,1001,,,,,,84.97453310696095
MOVER,diabetes,True,177,,,,,,15.025466893039049
MOVER,icu_flag,Yes,1083,,,,,,91.93548387096774
MOVER,icu_flag,No,95,,,,,,8.064516129032258
MOVER,early_aki_48h,event_among_observed,132,,,,,,11.609498680738787
VitalDB,age,,1960,61.32091836734694,13.362369016800995,63.0,55.0,71.0,
VitalDB,asa,,1960,1.9770408163265305,0.5607398838342581,2.0,2.0,2.0,
VitalDB,baseline_creatinine,,1960,0.8456122448979593,0.30627741123370095,0.8,0.67,0.95,
VitalDB,baseline_egfr,,1960,92.32221173071152,18.696227664925114,95.45346146566479,83.59357854101253,103.4429298519409,
VitalDB,anesthesia_minutes,,1960,243.08928571430272,112.61205949787829,220.0,170.0,297.0,
VitalDB,map_coverage,,1960,0.8610625104649451,0.06540100267746916,0.869631093544137,0.8191849816849817,0.9113477088948787,
VitalDB,total_low_minutes,,1960,16.594897959183672,23.610463381780438,9.0,2.0,21.0,
VitalDB,episode_count,,1960,4.630612244897959,4.808882545355105,3.0,1.0,6.0,
VitalDB,longest_episode_minutes,,1960,6.097448979591837,6.903195110119718,4.0,2.0,8.0,
VitalDB,excess5_minutes,,1960,4.259183673469388,12.007619129056462,0.0,0.0,4.0,
VitalDB,auc_below_65_mmhg_minutes,,1960,112.70561224489796,162.03590048686033,67.5,25.0,140.125,
VitalDB,mean_depth_below_65_mmhg,,1960,9.726060712321365,10.938622058350154,5.797104580812446,3.553361053361053,10.125,
VitalDB,sex,Male,1118,,,,,,57.04081632653061
VitalDB,sex,Female,842,,,,,,42.95918367346939
VitalDB,surgical_category,thoracic,974,,,,,,49.69387755102041
VitalDB,surgical_category,abdominal,785,,,,,,40.05102040816327
VitalDB,surgical_category,genitourinary_gynecologic,104,,,,,,5.3061224489795915
VitalDB,surgical_category,vascular,57,,,,,,2.9081632653061225
VitalDB,surgical_category,superficial_other,40,,,,,,2.0408163265306123
VitalDB,hypertension,False,1296,,,,,,66.12244897959184
VitalDB,hypertension,True,664,,,,,,33.87755102040816
VitalDB,diabetes,False,1709,,,,,,87.1938775510204
VitalDB,diabetes,True,251,,,,,,12.806122448979592
VitalDB,icu_flag,No,1230,,,,,,62.755102040816325
VitalDB,icu_flag,Yes,730,,,,,,37.244897959183675
VitalDB,early_aki_48h,event_among_observed,68,,,,,,3.7342119714442616
