group,variable,level,n,mean,sd,median,q1,q3,percent
Overall,age,,2958,59.72785665990534,15.452764648309088,62.0,51.0,71.0,
Overall,asa,,2958,2.4607843137254903,0.8548635412313081,2.0,2.0,3.0,
Overall,baseline_creatinine,,2958,0.8824273157538879,0.3912443714937357,0.8,0.67,0.99,
Overall,baseline_egfr,,2958,91.80890925933853,22.765700185237748,95.53949552499938,80.89525959362015,105.45421324849914,
Overall,anesthesia_minutes,,2958,270.3610547667343,135.419158390097,240.0,180.0,330.0,
Overall,map_coverage,,2958,0.8512282917352548,0.0672903739464463,0.8591024687976838,0.8034209470304976,0.9048374106513641,
Overall,total_low_minutes,,2958,22.28972278566599,32.857460101672515,12.0,3.0,27.0,
Overall,episode_count,,2958,6.31947261663286,7.122511155464525,4.0,2.0,8.0,
Overall,longest_episode_minutes,,2958,7.284651791751183,9.772389780711611,5.0,2.0,9.0,
Overall,excess5_minutes,,2958,6.324881676808655,16.959806357692447,0.0,0.0,5.0,
Overall,auc_below_65_mmhg_minutes,,2958,160.7134888438134,273.09750088342213,78.0,27.0,178.5,
Overall,mean_depth_below_65_mmhg,,2958,8.86253154581918,9.644386388829089,5.724605353466027,3.625,9.5,
Overall,sex,Male,1796,,,,,,60.71670047329277
Overall,sex,Female,1162,,,,,,39.28329952670723
Overall,surgical_category,thoracic,1034,,,,,,34.95605138607167
Overall,surgical_category,abdominal,999,,,,,,33.77281947261663
Overall,surgical_category,out_of_common_support,450,,,,,,15.212981744421906
Overall,surgical_category,vascular,183,,,,,,6.186612576064909
Overall,surgical_category,superficial_other,179,,,,,,6.051386071670048
Overall,surgical_category,genitourinary_gynecologic,113,,,,,,3.8201487491548343
Overall,hypertension,False,2048,,,,,,69.23597025016903
Overall,hypertension,True,910,,,,,,30.764029749830968
Overall,diabetes,False,2546,,,,,,86.07167004732928
Overall,diabetes,True,412,,,,,,13.928329952670724
Overall,icu_flag,Yes,1764,,,,,,59.63488843813388
Overall,icu_flag,No,1194,,,,,,40.36511156186612
Overall,creatinine_defined_aki_48h,event,200,,,,,,6.761325219743069
MOVER,age,,1137,57.00703605980651,18.10649112536215,59.0,44.0,70.0,
MOVER,asa,,1137,3.2365875109938433,0.6563328817833863,3.0,3.0,4.0,
MOVER,baseline_creatinine,,1137,0.9335971855760774,0.48989488265178893,0.8,0.6,1.1,
MOVER,baseline_egfr,,1137,91.34174522835522,28.224937228258263,96.368929987103,73.6437755565096,111.38617835081008,
MOVER,anesthesia_minutes,,1137,309.3711521547933,160.84218101989998,270.0,198.0,376.0,
MOVER,map_coverage,,1137,0.8327589859785021,0.06681735563219617,0.8344370860927153,0.7799043062200957,0.885,
MOVER,total_low_minutes,,1137,31.424802110817943,42.211487787274294,17.0,6.0,38.0,
MOVER,episode_count,,1137,8.985927880386983,9.121141613654702,6.0,3.0,12.0,
MOVER,longest_episode_minutes,,1137,9.224274406332453,12.886210080333706,5.0,2.0,11.0,
MOVER,excess5_minutes,,1137,9.693051890941073,22.270264452717214,0.0,0.0,9.0,
MOVER,auc_below_65_mmhg_minutes,,1137,238.53737906772207,377.70748735594896,102.0,33.0,285.0,
MOVER,mean_depth_below_65_mmhg,,1137,7.327202465546747,6.55412094752306,5.611111111111111,3.7142857142857135,8.675675675675675,
MOVER,sex,Male,741,,,,,,65.17150395778364
MOVER,sex,Female,396,,,,,,34.82849604221636
MOVER,surgical_category,out_of_common_support,450,,,,,,39.577836411609496
MOVER,surgical_category,abdominal,267,,,,,,23.482849604221634
MOVER,surgical_category,superficial_other,151,,,,,,13.280562884784521
MOVER,surgical_category,vascular,128,,,,,,11.25769569041337
MOVER,surgical_category,thoracic,93,,,,,,8.179419525065963
MOVER,surgical_category,genitourinary_gynecologic,48,,,,,,4.221635883905013
MOVER,hypertension,False,851,,,,,,74.84608619173262
MOVER,hypertension,True,286,,,,,,25.15391380826737
MOVER,diabetes,False,966,,,,,,84.96042216358839
MOVER,diabetes,True,171,,,,,,15.03957783641161
MOVER,icu_flag,Yes,1057,,,,,,92.96394019349164
MOVER,icu_flag,No,80,,,,,,7.036059806508355
MOVER,creatinine_defined_aki_48h,event,132,,,,,,11.609498680738787
VitalDB,age,,1821,61.42668863261944,13.25969400581033,63.0,55.0,71.0,
VitalDB,asa,,1821,1.9763866007688085,0.5546925808490081,2.0,2.0,2.0,
VitalDB,baseline_creatinine,,1821,0.8504777594728171,0.31023022676472667,0.8,0.67,0.95,
VitalDB,baseline_egfr,,1821,92.10059816830505,18.563097596529975,95.24799487416098,83.5244957330708,103.15684229479876,
VitalDB,anesthesia_minutes,,1821,246.0038440417353,110.01327835213772,225.0,170.0,300.0,
VitalDB,map_coverage,,1821,0.8627601976360939,0.06499166055555197,0.8714285714285714,0.8216216216216217,0.9125,
VitalDB,total_low_minutes,,1821,16.58594179022515,23.60566378430627,9.0,2.0,21.0,
VitalDB,episode_count,,1821,4.654585392641406,4.824828996114013,3.0,1.0,6.0,
VitalDB,longest_episode_minutes,,1821,6.073585941790225,6.906205979773192,4.0,2.0,8.0,
VitalDB,excess5_minutes,,1821,4.221856123009336,12.093236010772927,0.0,0.0,4.0,
VitalDB,auc_below_65_mmhg_minutes,,1821,112.12163646348161,161.1916447053476,67.5,25.0,139.0,
VitalDB,mean_depth_below_65_mmhg,,1821,9.821163706318773,11.041647917914936,5.814102564102564,3.551282051282051,10.394736842105264,
VitalDB,sex,Male,1055,,,,,,57.935200439319054
VitalDB,sex,Female,766,,,,,,42.064799560680946
VitalDB,surgical_category,thoracic,941,,,,,,51.674903898956615
VitalDB,surgical_category,abdominal,732,,,,,,40.19769357495881
VitalDB,surgical_category,genitourinary_gynecologic,65,,,,,,3.56946732564525
VitalDB,surgical_category,vascular,55,,,,,,3.0203185063152116
VitalDB,surgical_category,superficial_other,28,,,,,,1.5376166941241076
VitalDB,hypertension,False,1197,,,,,,65.7331136738056
VitalDB,hypertension,True,624,,,,,,34.266886326194395
VitalDB,diabetes,False,1580,,,,,,86.76551345414607
VitalDB,diabetes,True,241,,,,,,13.234486545853926
VitalDB,icu_flag,No,1114,,,,,,61.17517847336628
VitalDB,icu_flag,Yes,707,,,,,,38.82482152663372
VitalDB,creatinine_defined_aki_48h,event,68,,,,,,3.7342119714442616
